carrera,modalidad,costo_mensual,costo_inscripcion,campus
Derecho,Presencial,$4650,$8000,Campus Central
Derecho Online,En línea,$1980,$3600,Virtual
Psicología,Presencial,$4650,$8000,Campus Central
Enfermería,Presencial,$4650,$8000,Campus Central
Nutrición,Presencial,$4650,$8000,Campus Central
Ingeniería en Sistemas Computacionales,Presencial,$4650,$8000,Campus Central
Administración Sabatina,Sabatina,$3960,$3600,Campus Central
Administración y Desarrollo Empresarial Online,En línea,$1980,$3600,Virtual
Ventas y Mercadotecnia,Presencial,$4650,$8000,Campus Central
Ventas y Mercadotecnia Online,En línea,$1980,$3600,Virtual
Negocios Internacionales,Presencial,$4650,$8000,Campus Central
Gastronomía,Presencial,$4650,$8000,Campus Central
